,RL,pocock,kk,gurobi,sequential,random,CA_RO,imballance_RL,imballance_pocock,imballance_kk,imballance_random,imballance_CA_RO,new_RL
0,0.32799999999999996,8.325655197004814,6.116880341880342,0,0.22666666666666663,2.386557610241821,0.08266666666666662,0.0,8,6,2.0,0,0.32799999999999996
1,0.3653333333333334,24.198139025725233,2.091891891891892,0,0.2666666666666666,0.152,0.10666666666666672,0.0,24,2,0.0,0,0.3653333333333334
2,0.2079999999999999,12.304669887278584,2.092887624466572,0,0.15199999999999989,4.337377690802349,0.0933333333333333,0.0,12,2,4.0,0,0.2079999999999999
3,0.25333333333333335,16.302319726667864,8.092066321982529,0,0.21333333333333337,10.335357142857143,0.13866666666666663,0.0,16,8,10.0,0,0.25333333333333335
4,0.31733333333333336,8.155749688001427,0.07733333333333337,0,0.17066666666666672,4.182707703255648,0.09333333333333335,0.0,8,0,4.0,0,0.31733333333333336
5,0.2146666666666667,30.191111111111113,4.160985589752713,0,0.22533333333333333,6.322863247863248,0.11066666666666666,0.0,30,4,6.0,0,0.2146666666666667
6,0.3986666666666667,4.271855541718556,4.123447785091621,0,0.18533333333333335,8.212533428418613,0.1533333333333333,0.0,4,4,8.0,0,0.3986666666666667
7,0.268,4.389485856609144,2.096194879089616,0,0.2093333333333333,2.1184210526315788,0.07066666666666666,0.0,4,2,2.0,0,0.268
8,0.1893333333333334,14.3038737446198,0.09600000000000002,0,0.1600000000000001,8.355143519343912,0.11466666666666667,0.0,14,0,8.0,0,0.1893333333333334
9,0.2960000000000001,16.233339327459092,2.125568990042674,0,0.13066666666666663,8.32187555714031,0.13333333333333325,0.0,16,2,8.0,0,0.2960000000000001
10,0.33333333333333337,2.1670341394025607,2.1388691322901847,0,0.2506666666666666,12.281266774020397,0.08799999999999997,0.0,2,2,12.0,0,0.33333333333333337
11,0.21333333333333332,8.222570868247459,0.12000000000000001,0,0.24800000000000005,2.156081081081081,0.14400000000000002,0.0,8,0,2.0,0,0.21333333333333332
12,0.20933333333333334,16.229760834382304,0.10533333333333328,0,0.15333333333333335,8.340328044214655,0.08933333333333329,0.0,16,0,8.0,0,0.20933333333333334
13,0.21466666666666662,4.241754136274684,0.08933333333333332,0,0.2546666666666667,4.194680661803949,0.0946666666666666,0.0,4,0,4.0,0,0.21466666666666662
14,0.296,26.319318181818183,4.10293542074364,0,0.23466666666666663,18.187012987012988,0.058666666666666666,0.0,26,4,18.0,0,0.296
15,0.3106666666666667,6.388247863247863,4.1347624977761965,0,0.2546666666666666,6.340705128205128,0.06533333333333333,0.0,6,4,6.0,0,0.3106666666666667
16,0.20266666666666666,16.33199064916382,0.13066666666666665,0,0.1653333333333334,6.29198717948718,0.13600000000000007,0.0,16,0,6.0,0,0.20266666666666666
17,0.22133333333333338,24.175807334428026,2.120697012802276,0,0.19466666666666663,8.242360492066322,0.10400000000000006,0.0,24,2,8.0,0,0.22133333333333338
18,0.1293333333333333,24.21527093596059,0.124,0,0.32133333333333336,4.200017790428749,0.19066666666666657,0.0,24,0,4.0,0,0.1293333333333333
19,0.36666666666666664,30.26388888888889,2.0660739687055476,0,0.3213333333333333,0.12666666666666673,0.07866666666666673,0.0,30,2,0.0,0,0.36666666666666664
20,0.17733333333333323,16.3038122639813,2.166963015647226,0,0.39333333333333337,10.19892857142857,0.05999999999999995,0.0,16,2,10.0,0,0.17733333333333323
21,0.18133333333333337,16.29275310196008,2.065931721194879,0,0.15733333333333338,2.2233641536273114,0.1600000000000001,0.0,16,2,2.0,0,0.18133333333333337
22,0.2573333333333333,34.25078710644678,2.0603840682788053,0,0.252,8.15872704581922,0.0973333333333333,0.0,34,2,8.0,0,0.2573333333333333
23,0.16133333333333333,20.13185520361991,2.1019203413940257,0,0.23066666666666663,8.386396862185773,0.09466666666666672,0.0,20,2,8.0,0,0.16133333333333333
24,0.2466666666666667,0.3213333333333334,4.09519658423768,0,0.16666666666666666,8.200124799429489,0.09999999999999999,0.0,0,4,8.0,0,0.2466666666666667
25,0.3946666666666666,12.15577026301664,2.126849217638691,0,0.16799999999999998,2.273221906116643,0.12000000000000002,0.0,12,2,2.0,0,0.3946666666666666
26,0.18399999999999994,28.265205378522747,4.082689912826899,0,0.35200000000000004,14.185616929698709,0.16533333333333328,0.0,28,4,14.0,0,0.18399999999999994
27,0.42,22.25610465116279,0.14266666666666658,0,0.34,12.21561996779388,0.16399999999999992,0.0,22,0,12.0,0,0.42
28,0.1999999999999999,8.319557853449814,0.128,0,0.15733333333333324,14.243651362984219,0.1493333333333333,0.0,8,0,14.0,0,0.1999999999999999
29,0.20133333333333342,14.243005738880917,2.0940611664295874,0,0.20400000000000013,18.169588744588744,0.08666666666666678,0.0,14,2,18.0,0,0.20133333333333342
30,0.21466666666666667,26.183064516129033,4.116651841309375,0,0.29466666666666674,16.321291134688007,0.1746666666666667,0.0,26,4,16.0,0,0.21466666666666667
31,0.31999999999999995,6.289423076923077,4.149368439779399,0,0.2240000000000001,18.220454545454544,0.09600000000000009,0.0,6,4,18.0,0,0.31999999999999995
32,0.1933333333333334,20.19321266968326,2.142603129445235,0,0.22266666666666673,8.147887323943662,0.06000000000000005,0.0,20,2,8.0,0,0.1933333333333334
33,0.26,16.342186657076066,4.102988792029888,0,0.2013333333333334,4.194146948941469,0.13733333333333342,0.0,16,4,4.0,0,0.26
34,0.20933333333333348,14.225035868005738,2.093385490753912,0,0.34800000000000003,12.220343531937734,0.276,0.0,14,2,12.0,0,0.20933333333333348
