,RL,pocock,kk,gurobi,sequential,random,CA_RO,imballance_RL,imballance_pocock,imballance_kk,imballance_random,imballance_CA_RO,new_RL,new_CA_RO
0,2.39370757918552,2.9315935140440956,0,0,3.1166666666666663,4.223687606112055,3.0933333333333333,16.0,30.0,0,18.0,0.0,135.685378959276,154.66666666666666
1,2.5723674242424237,3.3602011278481867,0,0,2.99,4.071694849690539,2.8766666666666665,16.0,26.0,0,10.0,0.0,144.6183712121212,143.83333333333331
2,1.6445527590688882,3.2013250252404863,0,0,4.193333333333333,3.6291786599697353,2.503333333333333,12.0,20.0,0,18.0,0.0,94.22763795344441,125.16666666666664
3,1.7288213798159573,5.521206068706068,0,0,4.153333333333333,3.0827775908302226,3.726666666666667,12.0,24.0,0,22.0,0.0,98.44106899079786,186.33333333333334
4,1.9779702120002616,4.692378885482334,0,0,4.013333333333333,2.934112440191388,2.993333333333333,14.0,28.0,0,22.0,0.0,112.89851060001308,149.66666666666666
5,1.589034012405562,4.240750793746484,0,0,3.9466666666666663,4.581080909116168,3.3166666666666664,16.0,10.0,0,28.0,0.0,95.4517006202781,165.83333333333331
6,1.6904275528393173,4.056036556036556,0,0,3.8533333333333326,3.659027518898209,2.7233333333333336,14.0,16.0,0,18.0,0.0,98.52137764196587,136.16666666666669
7,2.3550790843894287,4.122760673234811,0,0,3.013333333333333,4.143657513348589,3.3666666666666667,16.0,14.0,0,36.0,0.0,133.75395421947144,168.33333333333334
8,2.0223942307692306,3.949680394680394,0,0,4.546666666666667,3.3653829807785183,4.073333333333332,18.0,14.0,0,18.0,0.0,119.11971153846153,203.66666666666663
9,1.9081116824352116,5.3262602988409435,0,0,3.1766666666666663,4.374601619644723,3.053333333333333,18.0,20.0,0,14.0,0.0,113.40558412176058,152.66666666666663
10,1.8346515151515148,4.70123801940619,0,0,3.506666666666667,4.427819469279736,2.203333333333333,10.0,24.0,0,26.0,0.0,101.73257575757575,110.16666666666666
11,1.7752762613730355,4.108434898434899,0,0,3.47,3.732873348272101,2.916666666666666,18.0,28.0,0,16.0,0.0,106.76381306865177,145.83333333333331
12,1.5910374331550805,3.7251608090185675,0,0,3.753333333333334,4.025882352941176,2.856666666666667,20.0,14.0,0,14.0,0.0,99.55187165775402,142.83333333333334
13,2.069979126265891,3.2031808626382663,0,0,4.726666666666667,3.3085930735930744,2.5900000000000007,12.0,22.0,0,22.0,0.0,115.49895631329456,129.50000000000003
14,1.7680478345184225,3.8037630231178614,0,0,4.373333333333333,3.534783395368073,2.95,20.0,14.0,0,8.0,0.0,108.40239172592112,147.5
15,1.9278946078431372,3.66094246031746,0,0,3.2766666666666664,4.415138401559455,3.1166666666666667,22.0,14.0,0,16.0,0.0,118.39473039215686,155.83333333333334
16,1.9980917366946782,3.6918749999999996,0,0,4.146666666666667,3.735625363142605,2.5966666666666667,16.0,24.0,0,24.0,0.0,115.9045868347339,129.83333333333334
17,1.7441057961646198,4.04291762672811,0,0,4.233333333333333,3.372040391624075,3.82,12.0,16.0,0,22.0,0.0,99.20528980823099,191.0
18,1.745683441558442,4.3659048925212725,0,0,3.869999999999999,3.576181438370676,2.713333333333333,14.0,10.0,0,6.0,0.0,101.2841720779221,135.66666666666666
19,1.9657015095119936,3.6907837301587296,0,0,4.2,3.995824899238692,2.773333333333334,8.0,14.0,0,16.0,0.0,106.28507547559968,138.66666666666669
20,1.7663581135216289,3.9838674737571798,0,0,3.8666666666666663,4.353659270725834,3.746666666666667,10.0,18.0,0,24.0,0.0,98.31790567608144,187.33333333333334
21,1.9435184670642451,3.990921794004958,0,0,5.550000000000001,4.230246715493808,3.3166666666666664,14.0,8.0,0,36.0,0.0,111.17592335321226,165.83333333333331
22,1.939663594470046,3.57322445280176,0,0,3.8199999999999994,3.9091247467366395,3.3,14.0,12.0,0,18.0,0.0,110.9831797235023,165.0
23,1.7445625746714457,4.299257849993145,0,0,3.3566666666666665,3.114279357814827,2.8866666666666667,16.0,24.0,0,32.0,0.0,103.22812873357229,144.33333333333334
24,1.7464120370370373,4.28758064516129,0,0,3.733333333333333,3.840331062070193,2.586666666666667,12.0,12.0,0,26.0,0.0,99.32060185185186,129.33333333333334
25,1.9782907213753993,4.254549186445739,0,0,4.403333333333333,3.328908412134218,2.869999999999999,16.0,10.0,0,16.0,0.0,114.91453606876996,143.49999999999997
26,1.9175297619047615,3.3589318089318088,0,0,3.33,3.3224049374049374,3.0066666666666664,4.0,30.0,0,20.0,0.0,99.87648809523807,150.33333333333331
27,1.7503571428571427,3.8686238259169534,0,0,3.476666666666666,3.072839091192032,3.52,14.0,14.0,0,20.0,0.0,101.51785714285714,176.0
28,1.6885316407730202,3.563571428571429,0,0,4.53,3.2884085332230497,2.3833333333333333,14.0,12.0,0,18.0,0.0,98.426582038651,119.16666666666667
29,1.5636869747899158,3.065998447204969,0,0,4.256666666666667,4.152369505494505,2.646666666666667,12.0,28.0,0,12.0,0.0,90.18434873949579,132.33333333333334
30,1.9563185398479517,4.184236694677871,0,0,4.880000000000001,4.213485808546292,3.1100000000000008,14.0,16.0,0,18.0,0.0,111.81592699239758,155.50000000000003
31,2.1311915535444945,4.429055555555555,0,0,3.95,3.9165257212198257,2.6733333333333333,16.0,52.0,0,18.0,0.0,122.55957767722472,133.66666666666666
32,1.79001867816092,3.366982456140351,0,0,3.4999999999999996,3.6579638009049775,2.869999999999999,12.0,32.0,0,26.0,0.0,101.500933908046,143.49999999999997
33,1.6360416666666668,3.618634998634999,0,0,3.8833333333333333,4.486454733006457,2.533333333333333,12.0,26.0,0,18.0,0.0,93.80208333333334,126.66666666666666
34,1.810172616054969,4.3336561074061075,0,0,3.483333333333333,4.384267676767677,3.1233333333333335,14.0,24.0,0,28.0,0.0,104.50863080274844,156.16666666666669
35,1.6019830098062857,3.9984807686515467,0,0,5.18,4.529539416939796,3.6,10.0,10.0,0,16.0,0.0,90.09915049031429,180.0
36,1.7363410782765625,4.418004926108374,0,0,3.703333333333333,3.7957151783489547,2.8633333333333333,14.0,10.0,0,16.0,0.0,100.81705391382812,143.16666666666666
37,1.9972674701610234,3.621087576665241,0,0,4.786666666666667,3.706258778258779,3.46,16.0,38.0,0,16.0,0.0,115.86337350805117,173.0
38,2.147313360126659,3.4312508544087486,0,0,4.0600000000000005,3.649424164922887,2.786666666666667,18.0,34.0,0,14.0,0.0,125.36566800633295,139.33333333333334
39,1.8807022332506205,3.3514097744360902,0,0,3.41,4.147513227513228,3.28,18.0,26.0,0,20.0,0.0,112.03511166253102,164.0
40,2.0129208736202617,4.369160353535354,0,0,3.3099999999999996,3.1401477832512317,2.67,10.0,32.0,0,10.0,0.0,110.64604368101308,133.5
41,1.8786102403343785,3.4158261241425536,0,0,4.28,3.564992355314936,2.856666666666667,12.0,16.0,0,20.0,0.0,105.93051201671892,142.83333333333334
42,1.5954949494949495,4.135851088103591,0,0,4.216666666666667,3.3846341829085453,2.46,18.0,22.0,0,28.0,0.0,97.77474747474747,123.0
43,1.6669014378691798,3.405001490626982,0,0,3.036666666666667,4.896493257700155,2.72,14.0,24.0,0,18.0,0.0,97.345071893459,136.0
44,1.552296493828752,3.512806948798328,0,0,3.1999999999999993,4.694135033323675,2.256666666666667,12.0,10.0,0,8.0,0.0,89.6148246914376,112.83333333333334
45,1.8185463767116992,5.138226344476344,0,0,2.9433333333333334,4.138464285714285,1.9666666666666663,14.0,18.0,0,14.0,0.0,104.92731883558496,98.33333333333331
46,2.0075417226451706,3.878153513949784,0,0,3.0733333333333333,3.439755569633618,3.143333333333333,16.0,30.0,0,22.0,0.0,116.37708613225853,157.16666666666666
47,2.2255910538263484,3.803481890209394,0,0,3.1833333333333336,2.6278188525272297,2.4766666666666666,14.0,22.0,0,28.0,0.0,125.27955269131742,123.83333333333333
48,1.7420536045341384,4.368552152495181,0,0,4.343333333333333,3.55001610458507,3.1933333333333334,14.0,22.0,0,14.0,0.0,101.10268022670692,159.66666666666666
49,1.7513080206830207,3.145253705318221,0,0,3.33,3.0184717741935487,2.8066666666666666,10.0,30.0,0,10.0,0.0,97.56540103415104,140.33333333333334
50,1.9483450345950348,4.524238247132985,0,0,3.7966666666666664,2.7753076402974983,3.3833333333333333,14.0,26.0,0,8.0,0.0,111.41725172975174,169.16666666666666
51,1.8357413933315256,3.151914751914752,0,0,3.666666666666666,4.2261638361638365,2.523333333333333,12.0,24.0,0,24.0,0.0,103.78706966657629,126.16666666666664
52,2.0614519642982643,4.249476286240992,0,0,3.453333333333333,3.3363328421259464,3.3599999999999994,18.0,20.0,0,18.0,0.0,121.07259821491321,167.99999999999997
53,1.679458483282078,3.8816951327338205,0,0,4.066666666666667,3.2664838709677415,2.1133333333333333,12.0,22.0,0,10.0,0.0,95.9729241641039,105.66666666666666
54,1.663136184498613,3.5180472013366746,0,0,3.463333333333333,4.0377802197802195,3.8866666666666667,18.0,36.0,0,22.0,0.0,101.15680922493065,194.33333333333334
55,1.7212495365220617,4.709291300097751,0,0,2.773333333333334,4.196120169082126,2.97,10.0,12.0,0,20.0,0.0,96.06247682610308,148.5
56,1.593859802831577,4.658071293033343,0,0,3.5133333333333328,4.236939919783538,2.433333333333333,12.0,16.0,0,26.0,0.0,91.69299014157885,121.66666666666666
57,1.7655753968253969,3.537452429247561,0,0,3.59,4.05868676495275,2.786666666666667,10.0,18.0,0,22.0,0.0,98.27876984126985,139.33333333333334
