,RL,pocock,kk,gurobi,sequential,random,CA_RO,imballance_RL,imballance_pocock,imballance_kk,imballance_random,imballance_CA_RO,new_RL,new_CA_RO,new_pocock,new_random,new_kk
0,2.3970833333333332,4.260845061651513,0,0,3.1166666666666667,2.9457473544973545,3.8733333333333335,4.0,16.0,0,14.0,0.0,123.85416666666666,193.66666666666669,229.04225308257566,161.28736772486772,0
1,2.7137523173896922,3.6532564102564105,0,0,3.3933333333333335,2.98728411435308,2.9433333333333334,2.0,18.0,0,12.0,0.0,137.6876158694846,147.16666666666666,200.66282051282053,161.36420571765402,0
2,2.2162476826103075,3.8547920635865687,0,0,2.763333333333333,3.390909550917141,3.4133333333333336,4.0,28.0,0,10.0,0.0,114.81238413051537,170.66666666666669,220.73960317932844,179.54547754585704,0
3,2.3024434556915088,4.711047240802676,0,0,3.876666666666667,3.66408007197481,2.456666666666667,4.0,26.0,0,22.0,0.0,119.12217278457544,122.83333333333334,261.5523620401338,205.20400359874048,0
4,2.4832851316277345,3.15042328042328,0,0,4.786666666666667,4.094475246037112,2.28,4.0,24.0,0,8.0,0.0,128.16425658138672,113.99999999999999,181.521164021164,212.72376230185557,0
5,3.0640934371523922,3.647297634966301,0,0,3.52,3.348056722689076,2.8533333333333335,2.0,28.0,0,16.0,0.0,155.20467185761962,142.66666666666669,210.36488174831504,183.4028361344538,0
6,2.970863922877271,4.075517180046892,0,0,3.5599999999999996,4.0212121212121215,2.786666666666667,2.0,28.0,0,24.0,0.0,150.54319614386355,139.33333333333334,231.7758590023446,225.06060606060606,0
7,2.887200593251761,4.064990079365079,0,0,3.766666666666667,3.466376191064734,2.6133333333333333,2.0,24.0,0,12.0,0.0,146.36002966258806,130.66666666666666,227.24950396825395,185.31880955323672,0
8,3.457549128661476,4.224062702003878,0,0,3.006666666666667,3.596590851039127,3.05,2.0,12.0,0,28.0,0.0,174.8774564330738,152.5,223.20313510019392,207.82954255195637,0
9,2.5281460882462,3.7396881885674986,0,0,4.133333333333333,4.120192669172932,2.876666666666667,2.0,20.0,0,26.0,0.0,128.40730441231,143.83333333333334,206.98440942837493,232.0096334586466,0
